2025-03-27 08:48:47,240 INFO    Thread-108 (_run_job):6327 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-27 08:48:47,241 INFO    Thread-108 (_run_job):6327 [wandb_setup.py:_flush():67] Configure stats pid to 6327
2025-03-27 08:48:47,241 INFO    Thread-108 (_run_job):6327 [wandb_setup.py:_flush():67] Loading settings from /home/gametheorylab/.config/wandb/settings
2025-03-27 08:48:47,241 INFO    Thread-108 (_run_job):6327 [wandb_setup.py:_flush():67] Loading settings from /home/gametheorylab/Desktop/RL-DA6400-assignment_1/minigrid_world/wandb/settings
2025-03-27 08:48:47,241 INFO    Thread-108 (_run_job):6327 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-27 08:48:47,241 INFO    Thread-108 (_run_job):6327 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /home/gametheorylab/Desktop/RL-DA6400-assignment_1/minigrid_world/wandb/run-20250327_084847-4gxrvwx2/logs/debug.log
2025-03-27 08:48:47,241 INFO    Thread-108 (_run_job):6327 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /home/gametheorylab/Desktop/RL-DA6400-assignment_1/minigrid_world/wandb/run-20250327_084847-4gxrvwx2/logs/debug-internal.log
2025-03-27 08:48:47,241 INFO    Thread-108 (_run_job):6327 [wandb_init.py:init():761] calling init triggers
2025-03-27 08:48:47,242 INFO    Thread-108 (_run_job):6327 [wandb_init.py:init():766] wandb.init called with sweep_config: {'alpha': 0.3763623288945195, 'temperature': 1.498155908780571}
config: {'_wandb': {}}
2025-03-27 08:48:47,242 INFO    Thread-108 (_run_job):6327 [wandb_init.py:init():784] starting backend
2025-03-27 08:48:47,242 INFO    Thread-108 (_run_job):6327 [wandb_init.py:init():788] sending inform_init request
2025-03-27 08:48:47,243 INFO    Thread-108 (_run_job):6327 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-03-27 08:48:47,243 INFO    Thread-108 (_run_job):6327 [wandb_init.py:init():798] backend started and connected
2025-03-27 08:48:47,243 INFO    Thread-108 (_run_job):6327 [wandb_run.py:_config_callback():1261] config_cb None None {'alpha': 0.3763623288945195, 'temperature': 1.498155908780571}
2025-03-27 08:48:47,243 INFO    Thread-108 (_run_job):6327 [wandb_init.py:init():891] updated telemetry
2025-03-27 08:48:47,247 INFO    Thread-108 (_run_job):6327 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-27 08:48:47,741 INFO    Thread-108 (_run_job):6327 [wandb_init.py:init():990] starting run threads in backend
2025-03-27 08:48:47,864 INFO    Thread-108 (_run_job):6327 [wandb_run.py:_console_start():2375] atexit reg
2025-03-27 08:48:47,865 INFO    Thread-108 (_run_job):6327 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-27 08:48:47,865 INFO    Thread-108 (_run_job):6327 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-27 08:48:47,865 INFO    Thread-108 (_run_job):6327 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-27 08:48:47,866 INFO    Thread-108 (_run_job):6327 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-27 08:49:03,170 INFO    Thread-108 (_run_job):6327 [wandb_run.py:_finish():2112] finishing run ee24e009-iitm/minigrid-qlearning-softmax-tuning/4gxrvwx2
2025-03-27 08:49:03,171 INFO    Thread-108 (_run_job):6327 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-03-27 08:49:03,171 INFO    Thread-108 (_run_job):6327 [wandb_run.py:_restore():2322] restore
2025-03-27 08:49:03,171 INFO    Thread-108 (_run_job):6327 [wandb_run.py:_restore():2328] restore done
2025-03-27 08:49:05,914 INFO    Thread-108 (_run_job):6327 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-03-27 08:49:05,915 INFO    Thread-108 (_run_job):6327 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-03-27 08:49:05,916 INFO    Thread-108 (_run_job):6327 [wandb_run.py:_footer_sync_info():3917] logging synced files
